index,time_ns,value,count,values
586,2893819896762,34724.0,16,34724.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
587,2893820540096,34738.0,16,34738.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
588,2894021586860,34761.0,16,34761.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
589,2894022027527,34781.0,16,34781.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
590,2894022302194,34802.0,16,34802.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
591,2894022575528,34826.0,16,34826.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
592,2894022846861,34867.0,16,34867.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
593,2894223069625,34885.0,16,34885.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
594,2894223464292,34879.0,16,34879.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
595,2894223772292,34827.0,16,34827.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
596,2894224054959,34751.0,16,34751.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
597,2894224328959,34692.0,16,34692.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
598,2894448755736,34653.0,16,34653.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
599,2894449152403,34655.0,16,34655.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
600,2894449485069,34654.0,16,34654.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
601,2894449759736,34661.0,16,34661.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
602,2894451837737,34664.0,16,34664.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
603,2894627961156,34673.0,16,34673.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
604,2894629020490,34674.0,16,34674.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
605,2894629333824,34688.0,16,34688.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
606,2894629612491,34698.0,16,34698.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
607,2894629886491,34711.0,16,34711.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
608,2894830469922,34727.0,16,34727.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
609,2894830859922,34748.0,16,34748.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
610,2894831150589,34766.0,16,34766.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
611,2894831436589,34792.0,16,34792.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
612,2894831707923,34820.0,16,34820.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
613,2895034448688,34831.0,16,34831.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
614,2895034851355,34803.0,16,34803.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
615,2895035123355,34728.0,16,34728.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
616,2895035399355,34656.0,16,34656.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
617,2895035670022,34601.0,16,34601.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
618,2895035980022,34576.0,16,34576.0;-32618.0;-4528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
619,2895236403454,34574.0,16,34574.0;-32645.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
620,2895236783454,34578.0,16,34578.0;-32645.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
621,2895237054121,34581.0,16,34581.0;-32645.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
622,2895237325454,34592.0,16,34592.0;-32645.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
